区域,板块,小区,户型,面积,总价,单价,成交日期,楼层,装修
浦东,高行,紫翠苑,3室2厅,124.05平米,400万,32245元/平,2016-04-08,中层/11层,精装
浦东,高行,紫翠苑,3室2厅,124.05平米,400万,32245元/平,2016-04-08,中层/11层,精装
浦东,合庆,环庆新苑,2室1厅,66.01平米,203万,30752元/平,2016-04-08,高层/6层,精装
浦东,康桥,康桥月苑,1室1厅,57.5平米,180万,31304元/平,2016-04-08,中层/6层,精装
浦东,康桥,康桥月苑,1室1厅,57.5平米,180万,31304元/平,2016-04-08,中层/6层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,陆家嘴,世茂滨江花园,2室2厅,126.39平米,860万,68043元/平,2016-04-08,中层/56层,精装
浦东,泥城镇,云锦名苑,2室2厅,83.43平米,90万,10787元/平,2016-04-08,中层/6层,毛坯
浦东,泥城镇,云锦新苑,1室1厅,47.01平米,54万,11486元/平,2016-04-08,低层/6层,简装
浦东,源深,梅园三街坊,1室0厅,35.27平米,364万,103203元/平,2016-04-08,高层/6层,中装
浦东,张江,玉兰香苑（二期）,1室1厅,57.56平米,233万,40479元/平,2016-04-08,中层/6层,简装
浦东,张江,玉兰香苑（二期）,1室1厅,57.56平米,233万,40479元/平,2016-04-08,中层/6层,简装
浦东,周浦,绿地景汇佳苑,2室2厅,95.94平米,330万,34396元/平,2016-04-08,中层/21层,毛坯
闵行,航华,丹桂花园,3室2厅,124.4平米,319万,25643元/平,2016-04-08,高层/6层,精装
闵行,静安新城,古美小区,2室1厅,60.46平米,253万,41845元/平,2016-04-08,高层/6层,中装
闵行,静安新城,古美小区,2室1厅,60.46平米,253万,41845元/平,2016-04-08,高层/6层,中装
闵行,静安新城,东兰雅苑,1室1厅,60.62平米,265万,43714元/平,2016-04-08,高层/7层,精装
闵行,龙柏,龙柏二村,3室1厅,77.02平米,310万,40249元/平,2016-04-08,高层/6层,简装
闵行,龙柏,龙柏二村,3室1厅,77.02平米,310万,40249元/平,2016-04-08,高层/6层,简装
闵行,龙柏,龙柏二村,3室1厅,77.02平米,310万,40249元/平,2016-04-08,高层/6层,简装
闵行,龙柏,龙柏二村,3室1厅,77.02平米,310万,40249元/平,2016-04-08,高层/6层,简装
闵行,龙柏,俊领国际酒店公寓,1室1厅,35.57平米,80万,22490元/平,2016-04-08,高层/5层,中装
闵行,老闵行,新闵小区,2室1厅,51.07平米,125万,24476元/平,2016-04-08,高层/6层,简装
闵行,老闵行,华江小区,2室1厅,49.04平米,105万,21411元/平,2016-04-08,低层/6层,中装
闵行,七宝,惠明苑,3室2厅,127.25平米,490万,38506元/平,2016-04-08,低层/12层,精装
宝山,高境,逸仙一村,2室1厅,56.99平米,240万,42112元/平,2016-04-08,中层/6层,精装
宝山,高境,逸仙一村,2室1厅,56.99平米,240万,42112元/平,2016-04-08,中层/6层,精装
宝山,罗店,罗溪花苑,2室2厅,82.56平米,175万,21196元/平,2016-04-08,中层/6层,精装
宝山,罗店,罗新苑,2室1厅,83.45平米,159万,19053元/平,2016-04-08,高层/6层,毛坯
宝山,上大,绿地领海,2室1厅,67.79平米,94万,13866元/平,2016-04-08,低层/18层,精装
宝山,上大,绿地领海,2室1厅,67.79平米,94万,13866元/平,2016-04-08,低层/18层,精装
宝山,淞南,淞南三村,2室1厅,57.42平米,208万,36224元/平,2016-04-08,高层/6层,简装
宝山,淞南,淞南三村,2室1厅,57.42平米,208万,36224元/平,2016-04-08,高层/6层,简装
徐汇,长桥,长桥新村,1室1厅,52.29平米,190万,36335元/平,2016-04-08,低层/6层,毛坯
徐汇,徐家汇,莱诗邸,3室2厅,159.15平米,1300万,81683元/平,2016-04-08,高层/33层,精装
徐汇,徐家汇,汇金广场,2室2厅,132.18平米,750万,56740元/平,2016-04-08,中层/28层,精装
徐汇,斜土路,瑞金南苑,2室2厅,113.68平米,850万,74771元/平,2016-04-08,低层/30层,精装
徐汇,斜土路,瑞金尊邸,1室2厅,89.2平米,630万,70627元/平,2016-04-08,高层/18层,豪装
普陀,曹杨,安天大厦,1室0厅,40.08平米,65万,16217元/平,2016-04-08,高层/15层,中装
普陀,光新,管弄五六街坊,2室1厅,59.95平米,265万,44203元/平,2016-04-08,低层/6层,中装
